Name,Birthday,CountriesActive,YearsActive,ProvenVictims,PossibleVictims,Notes,Type,Nickname
Jeanne Weber,10/7/1874,France,1905-1908,10,,Transient baby-sitter who strangled children in her care. Declared insane. Hanged herself in prison in 1918.,Strangler,"The Ogress, Madame Moulinet"
Henry Louis Wallace,11/4/1965,United States,1990-1994,9,10,"Wallace confessed to the murders of ten women in Charlotte, North Carolina. He would rape strangle or stab his victims prior to murdering them. Wallace was a supervisor at Taco Bell, some of his victims were his employees at Taco Bell in Charlotte, North Carolina.","Rapist, Strangler, Stalker",The Taco Bell Strangler
Angelo Buono Jr.,10/5/1934,United States,1977-1979,10,,"Convicted of strangling 10 women. One of the ""Hillside Stranglers"". Died in prison from a heart attack in 2002.","Rapist, Torturer, Strangler","One of the ""Hillside Stranglers"""
Satish,,India,1995-1998,10,,"Vampire, Rapist, Cannibal, Necrophiliac, Torturer",,
Zhou Kehua,2/6/1970,China,2004-2012,10,10,"A former soldier who targeted ATM users. He killed 10 people and evaded the law for eight years, before being shot in a shootout with police after a year-long manhunt.",N/A,N/A
Kang Ho-sun,10/10/1969,South Korea,2006-2008,10,,"Sentenced to death in 2010 for killing 10 women, including his wife and mother-in-law.","Rapist, Strangler",the gyeongsangnam-do serial killer
Eduard Shemyakov,9/30/1975,Russia,1996-1998,10,,"Ukrainian who raped, killed and dismembered women in St. Petersburg, supposedly cannibalizing one of the victims; sentenced to compulsory treatment.",Rapist,"The ""Resort Maniac"""
Oleg Kuznetsov,4/30/1969,Soviet Union Russia Ukraine,1991-1992,10,,"Robbed, raped and killed people around Russia and Ukraine; sentenced to death but commuted to life imprisonment.",Rapist,
Stanislav Rogolev,2/14/1941,Soviet Union,1980-1982,10,,"Killed and raped women, managing to avoid capture through suspected knowledge of the investigation against him; executed by firing squad in 1984.",Rapist,Agent 000
Volker Eckert,7/1/1959,West Germany Germany France Spain Czech Republic (suspected) Italy (suspected),1974-2006,11,19,"German trucker who confessed to having abducted, tortured and killed five prostitutes through his route in Western Europe, plus strangling a 14-year-old girl in his native West Germany in 1974, when he was 15. Police considered him perpetrator of nine murders (with four more being possible); he hanged himself in prison before being convicted.","Torturer, Strangler",Brummi Killer
Louis van Schoor,,South Africa,1986-1989,9,100,"Former security guard who was convicted of seven murders and two assassinations, but confessed to a reporter that he murdered 100 people; sentenced to 20 years in prison and released on parole in 2004.",,
Peter Kürten,5/26/1883,German Empire Weimar Germany,1913-1930,9,79,"Charged with nine murders and seven attempted murders. Dubbed ""The Vampire of Düsseldorf"" by the contemporary media. Executed by guillotine in 1931.",,The Vampire of Düsseldorf
Roger Dale Stafford,11/4/1951,United States,1974-1978,9,34,"Killed nine people in two states, including a family of three; his wife implicated him in 34 total murders in different states; executed by lethal injection in 1995.",,
Norman Afzal Simons,1/12/1967,South Africa,1986-1994,9,22,Convicted of only one of 22 cases of murder and sodomy of young children near Cape Town. Sentenced to imprisonment for life.,"Strangler, Pedophile",Station Strangler
Francis Heaulme,2/25/1959,France,1984-1992,9,20,"Convicted of killing nine people, but suspected in the murder of dozens. He is known as the ""Criminal Backpacker"" due to his travels throughout France. He left a trail of bodies wherever he went.","Rapist, Strangler",Criminal Backpacker
Joel Rifkin,1/20/1959,United States,1989-1993,9,17,"Killed prostitutes in New York City, most of them drug addicts. Convicted of nine murders but believed to have committed 17; also suspected of being the unidentified Long Island serial killer. Sentenced to 203 years to imprisonment for life.",Strangler,"The Drifter, Joel the Ripper"
Dagmar Overbye,4/23/1887,Denmark,1913-1920,9,15,"Murdered between nine and 25 children—of which one was her own—during a seven-year period. In 1921, she was sentenced to death in one of the most talked about trials in Danish history, that changed legislation on childcare. The sentence was later commuted to life in prison. Overbye was working as a professional child minder, caring for babies born outside of marriage, murdering her charges. She strangled them, drowned them or burned them to death in her masonry heater. The corpses were either cremated, buried or hidden in the loft. Died in prison in 1929.",Strangler,Englemagersken
Kenneth McDuff,3/21/1946,United States,1966-1992,9,14,"Death sentence for 1966 triple-murder was commuted. Killed again three days after 1989 parole and 10 further times in Waco, Texas until 1992. Executed by lethal injection in 1998.",,The Broomstick Killer
Robert Joseph Silveria Jr.,3/3/1959,United States,1981-1996,9,14,Freight train rider convicted of beating to death fellow transients and confessed to dozens more.,,The Boxcar Killer
Richard Biegenwald,8/24/1940,United States,1958-1983,9,11,"Killed at least nine people in Monmouth County, New Jersey and is suspected in at least two other murders. Died of respiratory and kidney failure in 2008.",Rapist,The Thrill Killer
Alexander Bychkov,4/1/1988,Russia,2009-2012,9,11,Described in his personal diary how he killed 11 men who were alcoholics and tramps. Confessed to eating body parts of his victims. Found guilty of nine murders and sentenced to life imprisonment.,Cannibal,Belinsky Cannibal
New Bedford Highway Killer,,United States,1988-1989,9,11,Unidentified serial killer who killed nine women and disappearance of two others between 1988 and 1989.,,
Maryvale serial shooter,,United States,2015-2016,9,11,"Motorist who shot 12 people in separate events in Phoenix, Arizona, killing nine. Aaron Saucedo was charged with the shootings and two additional murders in 2017.",,
Viktor Fokin,2/19/1935,Russia,1996-2000,9,10,"Pensioner who lured, killed and then dismembered prostitutes and alcohol abusers in his home, disposing of the remains in garbage containers after; died while imprisoned at a corrective labor colony.",,Grandfather Ripper
Edgecombe County Serial Killer,,United States,2000s,9,10,"Unidentified serial killer who killed nine women and possibly another who disappeared since 2005 around Rocky Mount, North Carolina. Antwan Pittman was convicted in one case.",,
Joseph Paul Franklin,4/13/1950,United States,1977-1980,11,20,White supremacist shooter who confessed to 20 murders and several attempted murders. Executed by lethal injection in 2013.,,
Yoshio Kodaira,1/28/1905,China Japan,1928?-1946,9,11,"A serial rapist, Kodaira killed his father-in-law in 1932 and eight to 10 women in Japan between 1945 and 1946, engaging in necrophilia after the fifth murder. Previously (1920s) he had been deployed to Northern China as a sailor in the Imperial Japanese Navy, where he was free to target the locals. Hanged in 1949.","Rapist, Necrophiliac, Strangler",
Keith Hunter Jesperson,4/6/1955,United States,1990-1995,8,160,Jesperson was convicted of killing eight women by strangulation.,Strangler,The Happy Face Killer
Rodney Alcala,8/23/1943,United States,1971-1979,8,130,"Known as the ""Dating Game Killer"" for appearing on the game show The Dating Game in the middle of his killing years. Was convicted of at least five murders, though his actual total is estimated to be much higher.",,The Dating Game Killer
Kiyotaka Katsuta,8/29/1948,Japan,1982-1983,8,22,"Strangled or shot people to rob them, using a gun he had stolen from a policeman after running him over with his car. Hanged in 2000.",Strangler,"Metropolitan Designated Case 113, Kiyotaka Fujiwara"
Pierre Chanal,11/18/1946,France,1980-1988,8,17,"He was convicted of killing three young men between 1980 and 1987. He was arrested in 1988. During a search of his vehicle, the police found sex toys and a camera with images that included the scenes of Chanal committed some of his crimes. Pierre Chanal committed suicide by severing an artery with a razor blade in 2003 while awaiting trial.",,
Christopher Wilder,3/13/1945,United States,1984,8,13,Killed eight women during a spree before accidentally shooting himself; suspected in the disappearance and murder of more than five more.,,The Beauty Queen Killer
Axeman of New Orleans,,United States,1918-1919,8,12,Unidentified serial killer of at least eight people in the New Orleans area from May 1918 to October 1919.,,
Vladimir Retunsky,,Russia,1990-1996,8,12,"Kidnapped, raped and killed hitchhikers in his hometown of Povorino, possibly abusing their corpses; initially sentenced to death, but later reduced to 15 years imprisonment and released in 2015.",Rapist,The Povorinsky Maniac
Gilbert Paul Jordan,12/12/1931,Canada,1965-1987,8,10,"He would typically find alcoholic women in bars in Vancouver's destitute Downtown Eastside, buy them drinks or pay them for sex and encourage them to drink with him. When they passed out, he would pour more liquor down their throats. The resulting deaths were reported as alcohol poisoning and generally ignored by police as the intentional murders blended in with the common occurrence in that neighbourhood. Died in 2006.",Rapist,"The Boozing Barber, The Alcohol Murders"
Nikolai Dzhumagaliev,11/15/1952,Soviet Union,1980 and earlier,7,75,Lured women in a park at night and hacked them with an axe as part of a plan to rid the world of prostitution. Also cooked parts of his victims and ate them himself or served them to other people as part of ethnic dishes. Found innocent by reason of insanity and interned in a mental institution.,"Rapist, Cannibal","Metal Fang, Kolya the Maneater"
Manuel Delgado Villegas,1/25/1943,Spain France (claimed) Italy (claimed),1964-1971,7,48,"Wandering criminal known as El Arropiero (""The Arrope Trader"") and El Estrangulador del Puerto (""The Strangler of Puerto""). Confessed to the impulsive murders of 48 people of different sex, age, wealth and sexual orientation in three countries (including his girlfriend, whom he strangled during sex), but police only investigated him for 22 murders in Spain and was considered proven author of seven. Some of his victims were killed with hand to hand combat techniques that he had learned in the Spanish Foreign Legion. Diagnosed with XYY syndrome and interned in a mental institution until his death in 1998.",,"El Arropiero (""The Arrope Trader""), El Estrangulador del Puerto (""The Strangler of Puerto"")."
Ershad Sikder,5/10/2004,Bangladesh,1991-1999,7,43,Career criminal and corrupt politician responsible for numerous torture murders in the 1990s; convincted on seven counts and executed 2004.,,
Ivan Milat,12/27/1944,Australia,1990s,7,30,Convicted of the Backpacker murders; sentenced to seven consecutive life sentences plus 18 years without the possibility of parole. May have had accomplices.,,
Michael Wayne McGray,7/11/1965,Canada United States,1980s-2010s,7,18,"Convicted of the murder of six people in the late 1990s, including a woman and her 11-year-old daughter. Claims to have killed 11 others, including murders committed while on parole and while on a three-day pass from prison. Finally imprisoned for life, killed a cellmate in 2010.",,
Kenneth Erskine,7/1/1963,United Kingdom,1986,7,11,He was a burglar who raped and strangled at least seven elderly women after breaking into their homes.,"Strangler, rapist",The Stockwell Strangler
